add,comment_num,dev,download_num,grade,info,name,num,size,update_time,version
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,深圳市悦动天下科技有限公司,7704万下载,4.8分,百度金熊奖、腾讯腾飞奖、36氪最佳跑步计步应用！过亿用户通过悦动圈养成了运动习惯！悦动圈-让运动更容易，用『红包』鼓励运动，用『游戏化的运动玩法』让你爱上运动！全民健走，共享骑行，在推进全民运动、全民健康的路上我们一直在努力！核心特色：-数据精准，多种运动模式任你选择支持健走、骑行、跑步、健身等多种记录模式，计步准确率高达95.8%准确率。-运动红包，每日运动就能拿红包每日健走、共享骑行、团队印花完成运动目标就能领红包。-趣味赛事，运动还可以这么玩独创7天健康挑战赛、健走闯关赛、团队印花赛等运动赛事，从未发现运动竟然如此有趣。-运动社区，热爱运动的人都在这里加入圈子、随时随地发现附近的运动达人，结交好友也能更容易。热门活动：7天健康挑战赛21天习惯养成赛健走闯关赛团队印花赛十公里挑战赛周一狂欢日PK抢红包#悦动圈，多一点运动，多一点健康#如需要帮助或获取更多信息，请关注或联系：微博：悦动圈微信公众号：悦动圈邮箱：bd@51yund.com,悦动圈,open_end,48.84M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521103651""></div>",V3.1.2.9.958
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,厦门美柚信息科技有限公司,394万下载,4.8分,"【原柚宝宝孕育正式更名为柚宝宝】
求好孕，当妈咪，就用柚宝宝！千万妈妈的口碑推荐！
权威的孕期管理工具，专业的萌宝成长助手，贴心的怀孕指南，帮你搞定有宝宝之后的那些事儿！
● 柚宝宝，孕妈备孕神器
App Store健康榜备受准妈妈青睐的孕期软件，超火爆的孕妈交流社区，分享宝贝成长的温馨瞬间。
● 科学涨姿势，轻松做好妈
从怀孕到育儿，科学知识每天播报，让你秒变育儿专家，助您成为内涵辣妈！
● 超人气圈子，方便妈妈交流
孕妈、辣妈们都爱的交流社区！求好孕、囤好货、涨姿势、学经验就往这里跑！
#孕期监测，宝宝动态随时看#
3D可视，模拟B超图像，陪伴宝贝成长
#亲子相册，辣妈必备影像神器#
一键上传，全家共享，帮宝宝从小打造私密亲友圈
#母婴商城，宝妈用品放心购#
妈妈囤每天上新，物美齐全的母婴用品，健康方便又放心。 
#辣妈驾到，萌宝成长柚宝帮#
宝妈的新手上路手册，了解宝宝发育情况和每日注意事项
#宝妈学堂，宝妈知识快乐学#
和千万宝妈一起分享关于宝宝的一切
#实用工具，孕妈必备放心用#
营养食谱孕期指南，产检提醒数据解释
贴心的妈咪应用，还不火速下载？
有宝宝，就用柚宝宝！",柚宝宝,open_end,40.76M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1518075710""></div>",V3.4.4
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,北京新氧科技有限公司,499万下载,4.9分,"【整形别冲动，先问问新氧】
1.腾讯视频《脱口秀大会》官方指定美容微整形APP，池子李诞张绍刚，变美都得靠新氧。
2.新氧是腾讯双百计划重点孵化企业，是中国领先的微整社区和微整特卖平台！
3.新氧与泰康在线、悟空保强强联合推出“氧气保”，变美更安全！
4.周周免费整形福利，新用户注册即获1280元红包！
5.亚太地区5000家医美机构实地考察，帮你找到真正口碑好医生！
6.奇葩说辩手肖骁、姜思达倾情推荐的微整APP，安心有保障！
【安全指南】 
*百万案例* 真人变美日记，供您参考！ 
*先行赔付* 氧气保来了，安心变美送保险！ 
*在线预约* 微整特卖、价格透明，无任何隐形消费！
*术后追踪* 真药检验，术后恢复护理建议，全程护航！ 
*圈子社交* 看直播，做主播，时尚达人带你聊聊变美那点事！
加入新氧美容APP ，遇见美丽的自己，遇见美好的他！~",新氧美容,open_end,54.05M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521457134""></div>",V7.2.0
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,北京嘉嘉康康科技有限公司,704万下载,4.7分,"体检宝-手机测量血压、视力、心率、听力、情绪、血氧
无需购买 Apple Watch,  Apple Watch有的，体检宝都有，Apple Watch 没有的，体检宝也有！
无需任何外设，通过手机直接测量：
【心率】 【连续动态实时心率】
【血压】 【血氧】 【血压粘度】
【视力】 【听力】 【呼吸频率】
【情绪】 【心理】 【肺活量】
每天可以领取健康币，3天就可以兑换礼品，所有礼品均不收任何费用+包邮。新增加手环、美甲七件套装、抱枕、购物袋、保健杯等兑换的奖品。
【数据可靠】
通过大量的用户验证：
1.心率适用范围在50~150之间，误差在 正负3以内
2.血压对92%以上用户，误差在正负12以内
3.血氧对95%以上用户，误差在正负2以内
4.高血脂的识别度和准确度80%以上
【功能介绍】
1.  通过手机测量用户的血压、心率、视力、听力、肺活量、心理指数、色盲等身体数据。
2. 通过蓝牙血压计、蓝牙手环、蓝牙体脂秤、蓝牙心电仪 测量身体数据。
3. 统计用户每天的健康数据，给出统计和趋势分析。
4. 无需穿戴设备，超便捷计步。
5. 七分钟锻炼、六块腹肌训练、臀部训练、腿部训练、眼保健操、减肥操、降压操等各种游戏化的交互式训练方案，统计管理每天的运动量和运动类型。",体检宝测血压视力心率,open_end,10.25M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1515408243""></div>",V3.6.8
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,北京减脂时代科技有限公司,372万下载,5分,"【减约，适合这样的你】
有自我管理意识和减脂需求的你。
【你曾经遇到的问题】
- 找不到适合自己的减肥方法
- 具备一定的减脂知识，但不知如何制定系统的减脂计划
- 想要提高减脂效率，却遇到瓶颈或者反弹的问题
【减约，帮你解决问题】
- 科学管理体系
量身定制，最适合的饮食运动计划，全面的数据反馈，便于自我管理。
- 智能减脂工具
用语音或者图片来查询/记录饮食和运动，更方便快捷，让减脂更直观。
- 权威专业测评
以身体数据、饮食结构、运动习惯为依据，准确发现身体潜在健康风险，提出改善方案。
- 详尽专家解读
减约专家1对1在线指导，答疑，不出门也能享受专家服务。
- 多元化减脂服务
AI瘦腰；户外跑走燃脂；T20急速燃脂，D28高效燃脂，轻食等多种减脂方案供选择。
- 新增线上减脂营
28天，每天一顿饭钱，即可享受督导，运动教练和营养专家的陪伴式服务，快速享瘦。
- 火热减肥社区
有海量干货，运动视频，减脂食谱等，还能和达人互动分享，畅谈减肥乐趣。
#遇见减约，爱上完美自己！#
了解我们：官网 www.jianzhishidai.cn
减脂干货：微信公众号——减约说
瘦身猛戳：新浪微博——@减约说
贴心陪伴：减约嘀咔QQ号——3124812532",减约,open_end,66.14M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1518415573""></div>",V4.0
"<div id=""J_AdvBox"" class=""det-adv""></div>",0,互动峰科技（北京）有限公司,645万下载,4.8分,"好医生在线是一款建立患者出院后的随访平台的APP，用来管理患者的恢复过程。它的目的是提高治疗效果，控制风险，减少复发，提高患者的生活质量，增加长期，病人对医院的忠诚度与口碑。为后续业务好大夫在线，数据管理系统的独立发展，和移动应用平台，协助医生收集、组织的长期随访数据，积累研究资料，从医学专家的认可和全国各地数以百万计的患者的信任，这是做好医生很重要所有的在线运营团队。好大夫在线将尽其所能携带的负担，认真提供具有社会价值的医院医疗服务，促进医患和谐，为解决中国“看病难”、“寻医难”找到有效的通途。
　　好大夫在线，9年专业的医疗服务经验，11年服务超过3600万患者！帮您找到全国最牛的医生看病,为你解决看病难题，让医疗真正为你服务！
下载好大夫在线，把协和医院、301医院等全国著名三甲医院的16万医生装进口袋。一部手机解决看病难题。
 
功能介绍
【快速寻医】
　　1.汇集协和医院等全国著名三甲医院的儿科、妇产科、骨科、中医、营养等常见科室，找到最合适你的医生答疑解惑，轻松操作即可提交病情
　　2.即时更新的医生出/停诊信息，就医有参考，避免白跑路
3.160万患友分享就医经验，帮你找到好大夫找对好大夫
 
【在线问诊】
全国三甲医院顶级专家本人回复患者提问，图文、电话、视频形式任选。图文问诊不限次交流，让您与医生更好沟通
	免费咨询：网上免费提问，看病前的困惑、看病后的犹豫都可以得到医生的回复
	电话咨询义诊：全国知名专家长期义诊，电话直联专家本人，获得权威建议
	预约转诊：病情优先制的转诊系统，免费服务，把最需要的号给最需要的你
【院后管理】
　　1.保持联络：扫描医生的二维码，出院在家也能与医生保持联络
　　2.用药指导：上传用药资料，专业医生为你提供个性化的用药指导
       3.文章科普：医生撰写文章，科普知识，教你认识疾病，了解疾病才能预防病，治好病
【在线开药】医生网上开处方，药品配送到家
【专家手术】全国顶级专家到当地为患者手术，享当地医保，省钱省心
【家庭医生】专家级医生提供全程疾病管理，长期服务
【好大夫VIP】尊享8大特权，生病有人管，全程为您安排",好大夫在线,open_end,36.26M,"<div class=""det-othinfo-data"" id=""J_ApkPublishTime"" data-apkpublishtime=""1521560806""></div>",V5.6.9
